published_date,average_sentiment_manual,risk_index_manual,news_count_manual,factor_count_manual,delta_from_previous_manual,average_sentiment_pred,risk_index_pred,news_count_pred,factor_count_pred,delta_from_previous_pred
2025-01-24,0.0,0.029055690072639227,4,36,-0.027777777777777776,0.010039545874399274,0.17640404544093782,4,36,-0.03840650022658871
2025-01-25,0.0,0.0,1,36,0.0,0.0482189349300953,0.14963006981764074,1,36,0.038179389055696025
2025-01-26,-0.027777777777777776,0.029055690072639227,1,36,-0.027777777777777776,-0.12348191321567836,0.24232198626005813,1,36,-0.17170084814577366
2025-01-27,-0.08333333333333333,0.08837772397094432,4,36,-0.05555555555555555,-0.00513984560611226,0.18791332588123652,4,36,0.1183420676095661
2025-01-28,0.0,0.05811138014527846,6,36,0.08333333333333333,0.0823332818796185,0.11389865475222698,6,36,0.08747312748573076
2025-01-29,0.05555555555555555,0.0,4,36,0.05555555555555555,-0.05133297869860534,0.20501546506440702,4,36,-0.13366626057822384
2025-01-30,0.05555555555555555,0.0,2,36,0.0,0.09279851456868543,0.1457907483819023,2,36,0.14413149326729077
2025-01-31,0.027777777777777776,0.0,1,36,-0.027777777777777776,0.052988284323532586,0.14503838958388288,1,36,-0.039810230245152844
2025-02-02,-0.027777777777777776,0.029055690072639227,2,36,-0.05555555555555555,0.07623074610764541,0.20472621666211008,2,36,0.023242461784112822
2025-02-03,-0.027777777777777776,0.03389830508474576,2,36,0.0,0.09699155166328965,0.12106333740012318,2,36,0.020760805555644246
2025-02-04,-0.027777777777777776,0.025423728813559324,1,36,0.0,0.0366296750354243,0.10330196049944464,1,36,-0.06036187662786535
2025-02-05,0.0,0.029055690072639227,4,36,0.027777777777777776,0.1260239261635895,0.12541893430274828,4,36,0.08939425112816521
2025-02-06,0.027777777777777776,0.0,4,36,0.027777777777777776,0.08786382940777988,0.10657732109354692,4,36,-0.03816009675580963
2025-02-07,-0.027777777777777776,0.025423728813559324,2,36,-0.05555555555555555,0.11853576111185515,0.14009173985997014,2,36,0.03067193170407527
2025-02-08,-0.027777777777777776,0.025423728813559324,1,36,0.0,0.0884367534644832,0.08702811048662525,1,36,-0.03009900764737196
2025-02-09,-0.027777777777777776,0.025423728813559324,2,36,0.0,0.005120774887470104,0.201640687839574,2,36,-0.08331597857701309
2025-02-10,0.08333333333333333,0.0,4,36,0.1111111111111111,0.10367258071390392,0.14327303919249,4,36,0.09855180582643382
2025-02-11,0.027777777777777776,0.0,2,36,-0.05555555555555555,0.01905308804287133,0.12075454670959687,2,36,-0.0846194926710326
2025-02-12,0.0,0.05690072639225181,5,36,-0.027777777777777776,0.057822708142029645,0.16474565879120293,5,36,0.03876962009915831
2025-02-13,0.0,0.0,2,36,0.0,0.156100935279032,0.02436702838842952,2,36,0.09827822713700235
2025-02-14,0.027777777777777776,0.0,3,36,0.027777777777777776,0.10777113672474438,0.11887474288519433,3,36,-0.04832979855428761
2025-02-17,-0.05555555555555555,0.05084745762711865,3,36,-0.08333333333333333,0.10518980220086817,0.09166786418565778,3,36,-0.002581334523876211
2025-02-18,0.0,0.02784503631961259,4,36,0.05555555555555555,0.15525677572949564,0.15775836833627707,4,36,0.050066973528627476
2025-02-19,-0.05555555555555555,0.054479418886198554,3,36,-0.05555555555555555,0.10596790183535248,0.12250994629016712,3,36,-0.04928887389414316
2025-02-20,0.027777777777777776,0.0,1,36,0.08333333333333333,0.11432277471811744,0.09252958886496795,1,36,0.008354872882764958
2025-02-21,0.027777777777777776,0.0,2,36,0.0,0.10261561626799236,0.11609826553029046,2,36,-0.011707158450125085
2025-02-23,-0.027777777777777776,0.029055690072639227,2,36,-0.05555555555555555,0.07405419448225856,0.0990188181817455,2,36,-0.0285614217857338
2025-02-24,0.0,0.025423728813559324,6,36,0.027777777777777776,0.0651772022312412,0.1463027198215854,6,36,-0.00887699225101736
2025-02-25,0.027777777777777776,0.0,1,36,0.027777777777777776,-0.17100159451874208,0.2711920305555473,1,36,-0.23617879674998327
2025-02-26,0.027777777777777776,0.0,4,36,0.0,0.24158720049856727,0.07773744577840694,4,36,0.4125887950173094
2025-02-27,0.08333333333333333,0.0,4,36,0.05555555555555555,0.05013169482259693,0.176647770189142,4,36,-0.19145550567597033
