name,threshold,pairs,mean_labels,precision,recall,f1,macro_supported,sample_f1,any_f1,any_precision,any_recall,false_relevant,missed_all
union:baseline_balanced@0.6+thinking_recall@0.3+grouped_event@0.6,,370,1.2333333333333334,0.4783783783783784,0.5765472312703583,0.5228951255539144,0.35442953494677354,0.4182142857142857,0.8801652892561983,0.8287937743190662,0.9383259911894273,44,14
union:baseline_balanced@0.35+thinking_recall@0.1,,286,0.9533333333333334,0.541958041958042,0.504885993485342,0.5227655986509275,0.26300526990560014,0.4145555555555555,0.8744769874476988,0.8326693227091634,0.920704845814978,42,18
union:baseline_balanced@0.35+thinking_recall@0.3,,286,0.9533333333333334,0.541958041958042,0.504885993485342,0.5227655986509275,0.26300526990560014,0.4145555555555555,0.8744769874476988,0.8326693227091634,0.920704845814978,42,18
union:baseline_balanced@0.6+thinking_recall@0.1,,286,0.9533333333333334,0.541958041958042,0.504885993485342,0.5227655986509275,0.26300526990560014,0.4145555555555555,0.8744769874476988,0.8326693227091634,0.920704845814978,42,18
union:baseline_balanced@0.6+thinking_recall@0.3,,286,0.9533333333333334,0.541958041958042,0.504885993485342,0.5227655986509275,0.26300526990560014,0.4145555555555555,0.8744769874476988,0.8326693227091634,0.920704845814978,42,18
union:baseline_balanced@0.1+thinking_recall@0.1,,337,1.1233333333333333,0.49258160237388726,0.5407166123778502,0.515527950310559,0.25850310195584203,0.42577777777777776,0.8853118712273642,0.8148148148148148,0.9691629955947136,50,7
union:baseline_balanced@0.1+thinking_recall@0.3,,337,1.1233333333333333,0.49258160237388726,0.5407166123778502,0.515527950310559,0.25850310195584203,0.42577777777777776,0.8853118712273642,0.8148148148148148,0.9691629955947136,50,7
union:baseline_balanced@0.3+thinking_recall@0.1,,337,1.1233333333333333,0.49258160237388726,0.5407166123778502,0.515527950310559,0.25850310195584203,0.42577777777777776,0.8853118712273642,0.8148148148148148,0.9691629955947136,50,7
union:baseline_balanced@0.3+thinking_recall@0.3,,337,1.1233333333333333,0.49258160237388726,0.5407166123778502,0.515527950310559,0.25850310195584203,0.42577777777777776,0.8853118712273642,0.8148148148148148,0.9691629955947136,50,7
max:baseline_balanced+thinking_recall@0.05,0.05,337,1.1233333333333333,0.49258160237388726,0.5407166123778502,0.515527950310559,0.25850310195584203,0.42577777777777776,0.8853118712273642,0.8148148148148148,0.9691629955947136,50,7
