name,pairs,mean_labels,precision,recall,f1,macro_supported,sample_f1_empty_correct,any_precision,any_recall,any_f1,false_relevant,missed_all
union:baseline_balanced@0.6+thinking_recall_v1@0.45+grouped_event@0.45,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.6+thinking_recall_v1@0.45+grouped_event@0.6,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.6+thinking_recall_v1@0.6+grouped_event@0.35,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.6+thinking_recall_v1@0.6+grouped_event@0.45,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.6+thinking_recall_v1@0.6+grouped_event@0.6,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.35+thinking_recall_v1@0.35,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.9261363636363636,0.7180616740088106,0.8089330024813896,13,64
union:baseline_balanced@0.35+thinking_recall_v1@0.45,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.9261363636363636,0.7180616740088106,0.8089330024813896,13,64
union:baseline_balanced@0.35+thinking_recall_v1@0.6,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.9261363636363636,0.7180616740088106,0.8089330024813896,13,64
union:baseline_balanced@0.45+thinking_recall_v1@0.35,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.9261363636363636,0.7180616740088106,0.8089330024813896,13,64
union:baseline_balanced@0.45+thinking_recall_v1@0.45,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.9261363636363636,0.7180616740088106,0.8089330024813896,13,64
union:baseline_balanced@0.45+thinking_recall_v1@0.6,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.9261363636363636,0.7180616740088106,0.8089330024813896,13,64
union:baseline_balanced@0.6+thinking_recall_v1@0.35,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.9261363636363636,0.7180616740088106,0.8089330024813896,13,64
union:baseline_balanced@0.6+thinking_recall_v1@0.45,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.9261363636363636,0.7180616740088106,0.8089330024813896,13,64
union:baseline_balanced@0.6+thinking_recall_v1@0.6,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.9261363636363636,0.7180616740088106,0.8089330024813896,13,64
union:baseline_balanced@0.1+thinking_recall_v1@0.35,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.5524444444444444,0.8680851063829788,0.8986784140969163,0.8831168831168831,31,23
union:baseline_balanced@0.1+thinking_recall_v1@0.45,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.5524444444444444,0.8680851063829788,0.8986784140969163,0.8831168831168831,31,23
union:baseline_balanced@0.1+thinking_recall_v1@0.6,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.5524444444444444,0.8680851063829788,0.8986784140969163,0.8831168831168831,31,23
union:baseline_balanced@0.3+thinking_recall_v1@0.35,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.5524444444444444,0.8680851063829788,0.8986784140969163,0.8831168831168831,31,23
union:baseline_balanced@0.3+thinking_recall_v1@0.45,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.5524444444444444,0.8680851063829788,0.8986784140969163,0.8831168831168831,31,23
union:baseline_balanced@0.3+thinking_recall_v1@0.6,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.5524444444444444,0.8680851063829788,0.8986784140969163,0.8831168831168831,31,23
