config,gold_pairs,pred_pairs,mean_pred_labels,precision,recall,micro_f1,macro_f1_all36,macro_f1_supported,sample_f1,any_precision,any_recall,any_f1,false_relevant,missed_all,mode,q_threshold,g_threshold
grid_old_or_both_q0.25_g0.30,656,649,2.738396624472574,0.5716486902927581,0.5655487804878049,0.5685823754789272,0.3415795625239863,0.424029801753914,0.5260425228779658,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1,old_or_both,0.25,0.3
grid_old_or_both_q0.30_g0.30,656,649,2.738396624472574,0.5716486902927581,0.5655487804878049,0.5685823754789272,0.3415795625239863,0.424029801753914,0.5260425228779658,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1,old_or_both,0.3,0.3
grid_old_or_both_q0.30_g0.25,656,649,2.738396624472574,0.5716486902927581,0.5655487804878049,0.5685823754789272,0.3415795625239863,0.424029801753914,0.5260425228779658,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1,old_or_both,0.3,0.25
grid_old_or_both_q0.20_g0.20,656,649,2.738396624472574,0.5716486902927581,0.5655487804878049,0.5685823754789272,0.3415795625239863,0.424029801753914,0.5260425228779658,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1,old_or_both,0.2,0.2
grid_old_or_both_q0.20_g0.30,656,649,2.738396624472574,0.5716486902927581,0.5655487804878049,0.5685823754789272,0.3415795625239863,0.424029801753914,0.5260425228779658,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1,old_or_both,0.2,0.3
grid_old_or_both_q0.20_g0.25,656,649,2.738396624472574,0.5716486902927581,0.5655487804878049,0.5685823754789272,0.3415795625239863,0.424029801753914,0.5260425228779658,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1,old_or_both,0.2,0.25
grid_old_or_both_q0.25_g0.50,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.25,0.5
grid_old_or_both_q0.20_g0.50,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.2,0.5
grid_old_or_both_q0.25_g0.40,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.25,0.4
grid_old_or_both_q0.25_g0.35,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.25,0.35
grid_old_or_both_q0.25_g0.45,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.25,0.45
grid_old_or_both_q0.20_g0.45,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.2,0.45
