label_scope,config,n_news,gold_positive_pairs,gold_mean_labels,gold_empty_news,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,source,threshold
all,search_production_v1@0.05,237,656,2.7679324894514767,10,129,0.5443037974683544,0.5968992248062015,0.1173780487804878,0.1961783439490446,0.14746511925313036,0.1919730761502913,0.9836065573770492,0.5286343612334802,0.6876790830945558,2,107,search_production_v1,0.05
all,search_production_v1@0.10,237,656,2.7679324894514767,10,129,0.5443037974683544,0.5968992248062015,0.1173780487804878,0.1961783439490446,0.14746511925313036,0.1919730761502913,0.9836065573770492,0.5286343612334802,0.6876790830945558,2,107,search_production_v1,0.1
all,search_production_v1@0.15,237,656,2.7679324894514767,10,129,0.5443037974683544,0.5968992248062015,0.1173780487804878,0.1961783439490446,0.14746511925313036,0.1919730761502913,0.9836065573770492,0.5286343612334802,0.6876790830945558,2,107,search_production_v1,0.15
all,search_production_v1@0.20,237,656,2.7679324894514767,10,129,0.5443037974683544,0.5968992248062015,0.1173780487804878,0.1961783439490446,0.14746511925313036,0.1919730761502913,0.9836065573770492,0.5286343612334802,0.6876790830945558,2,107,search_production_v1,0.2
all,search_production_v1@0.25,237,656,2.7679324894514767,10,129,0.5443037974683544,0.5968992248062015,0.1173780487804878,0.1961783439490446,0.14746511925313036,0.1919730761502913,0.9836065573770492,0.5286343612334802,0.6876790830945558,2,107,search_production_v1,0.25
all,search_production_v1@0.30,237,656,2.7679324894514767,10,129,0.5443037974683544,0.5968992248062015,0.1173780487804878,0.1961783439490446,0.14746511925313036,0.1919730761502913,0.9836065573770492,0.5286343612334802,0.6876790830945558,2,107,search_production_v1,0.3
all,search_production_v1@0.35,237,656,2.7679324894514767,10,70,0.29535864978902954,0.7857142857142857,0.08384146341463415,0.15151515151515152,0.13981070122749595,0.15251155314446452,0.9852941176470589,0.29515418502202645,0.4542372881355932,1,160,search_production_v1,0.35
all,search_production_v1@0.40,237,656,2.7679324894514767,10,70,0.29535864978902954,0.7857142857142857,0.08384146341463415,0.15151515151515152,0.13981070122749595,0.15251155314446452,0.9852941176470589,0.29515418502202645,0.4542372881355932,1,160,search_production_v1,0.4
all,search_production_v1@0.45,237,656,2.7679324894514767,10,70,0.29535864978902954,0.7857142857142857,0.08384146341463415,0.15151515151515152,0.13981070122749595,0.15251155314446452,0.9852941176470589,0.29515418502202645,0.4542372881355932,1,160,search_production_v1,0.45
all,search_production_v1@0.50,237,656,2.7679324894514767,10,70,0.29535864978902954,0.7857142857142857,0.08384146341463415,0.15151515151515152,0.13981070122749595,0.15251155314446452,0.9852941176470589,0.29515418502202645,0.4542372881355932,1,160,search_production_v1,0.5
all,search_production_v1@0.55,237,656,2.7679324894514767,10,70,0.29535864978902954,0.7857142857142857,0.08384146341463415,0.15151515151515152,0.13981070122749595,0.15251155314446452,0.9852941176470589,0.29515418502202645,0.4542372881355932,1,160,search_production_v1,0.55
all,search_production_v1@0.60,237,656,2.7679324894514767,10,70,0.29535864978902954,0.7857142857142857,0.08384146341463415,0.15151515151515152,0.13981070122749595,0.15251155314446452,0.9852941176470589,0.29515418502202645,0.4542372881355932,1,160,search_production_v1,0.6
all,search_production_v1@0.70,237,656,2.7679324894514767,10,2,0.008438818565400843,0.5,0.001524390243902439,0.00303951367781155,0.0005264543300868649,0.046413502109704644,1.0,0.00881057268722467,0.017467248908296942,0,225,search_production_v1,0.7
all,search_production_v1@0.80,237,656,2.7679324894514767,10,2,0.008438818565400843,0.5,0.001524390243902439,0.00303951367781155,0.0005264543300868649,0.046413502109704644,1.0,0.00881057268722467,0.017467248908296942,0,225,search_production_v1,0.8
all,search_production_v1@0.90,237,656,2.7679324894514767,10,2,0.008438818565400843,0.5,0.001524390243902439,0.00303951367781155,0.0005264543300868649,0.046413502109704644,1.0,0.00881057268722467,0.017467248908296942,0,225,search_production_v1,0.9
all,search_balanced_recall_v2@default_is_relevant,237,656,2.7679324894514767,10,132,0.5569620253164557,0.7727272727272727,0.15548780487804878,0.25888324873096447,0.1285841845914513,0.25829817158931084,1.0,0.5198237885462555,0.6840579710144927,0,109,search_balanced_recall_v2,default
all,search_balanced_recall_v2@0.05,237,656,2.7679324894514767,10,188,0.7932489451476793,0.7287234042553191,0.20884146341463414,0.3246445497630332,0.14535805179880334,0.33173598553345385,0.9824561403508771,0.7400881057268722,0.8442211055276382,3,59,search_balanced_recall_v2,0.05
all,search_balanced_recall_v2@0.10,237,656,2.7679324894514767,10,188,0.7932489451476793,0.7287234042553191,0.20884146341463414,0.3246445497630332,0.14535805179880334,0.33173598553345385,0.9824561403508771,0.7400881057268722,0.8442211055276382,3,59,search_balanced_recall_v2,0.1
all,search_balanced_recall_v2@0.15,237,656,2.7679324894514767,10,188,0.7932489451476793,0.7287234042553191,0.20884146341463414,0.3246445497630332,0.14535805179880334,0.33173598553345385,0.9824561403508771,0.7400881057268722,0.8442211055276382,3,59,search_balanced_recall_v2,0.15
all,search_balanced_recall_v2@0.20,237,656,2.7679324894514767,10,188,0.7932489451476793,0.7287234042553191,0.20884146341463414,0.3246445497630332,0.14535805179880334,0.33173598553345385,0.9824561403508771,0.7400881057268722,0.8442211055276382,3,59,search_balanced_recall_v2,0.2
all,search_balanced_recall_v2@0.25,237,656,2.7679324894514767,10,188,0.7932489451476793,0.7287234042553191,0.20884146341463414,0.3246445497630332,0.14535805179880334,0.33173598553345385,0.9824561403508771,0.7400881057268722,0.8442211055276382,3,59,search_balanced_recall_v2,0.25
all,search_balanced_recall_v2@0.30,237,656,2.7679324894514767,10,188,0.7932489451476793,0.7287234042553191,0.20884146341463414,0.3246445497630332,0.14535805179880334,0.33173598553345385,0.9824561403508771,0.7400881057268722,0.8442211055276382,3,59,search_balanced_recall_v2,0.3
all,search_balanced_recall_v2@0.35,237,656,2.7679324894514767,10,100,0.4219409282700422,0.84,0.12804878048780488,0.2222222222222222,0.11421863399370272,0.23095238095238096,1.0,0.4185022026431718,0.5900621118012422,0,132,search_balanced_recall_v2,0.35
all,search_balanced_recall_v2@0.40,237,656,2.7679324894514767,10,100,0.4219409282700422,0.84,0.12804878048780488,0.2222222222222222,0.11421863399370272,0.23095238095238096,1.0,0.4185022026431718,0.5900621118012422,0,132,search_balanced_recall_v2,0.4
all,search_balanced_recall_v2@0.45,237,656,2.7679324894514767,10,100,0.4219409282700422,0.84,0.12804878048780488,0.2222222222222222,0.11421863399370272,0.23095238095238096,1.0,0.4185022026431718,0.5900621118012422,0,132,search_balanced_recall_v2,0.45
all,search_balanced_recall_v2@0.50,237,656,2.7679324894514767,10,100,0.4219409282700422,0.84,0.12804878048780488,0.2222222222222222,0.11421863399370272,0.23095238095238096,1.0,0.4185022026431718,0.5900621118012422,0,132,search_balanced_recall_v2,0.5
all,search_balanced_recall_v2@0.55,237,656,2.7679324894514767,10,100,0.4219409282700422,0.84,0.12804878048780488,0.2222222222222222,0.11421863399370272,0.23095238095238096,1.0,0.4185022026431718,0.5900621118012422,0,132,search_balanced_recall_v2,0.55
all,search_balanced_recall_v2@0.60,237,656,2.7679324894514767,10,100,0.4219409282700422,0.84,0.12804878048780488,0.2222222222222222,0.11421863399370272,0.23095238095238096,1.0,0.4185022026431718,0.5900621118012422,0,132,search_balanced_recall_v2,0.6
all,search_balanced_recall_v2@0.70,237,656,2.7679324894514767,10,29,0.12236286919831224,0.896551724137931,0.039634146341463415,0.07591240875912408,0.05741784697159951,0.09965842877235283,1.0,0.12334801762114538,0.2196078431372549,0,199,search_balanced_recall_v2,0.7
all,search_balanced_recall_v2@0.80,237,656,2.7679324894514767,10,25,0.10548523206751055,0.92,0.0350609756097561,0.06754772393538913,0.0533275002377085,0.0944544906570223,1.0,0.11013215859030837,0.1984126984126984,0,202,search_balanced_recall_v2,0.8
all,search_balanced_recall_v2@0.90,237,656,2.7679324894514767,10,24,0.10126582278481013,0.9166666666666666,0.03353658536585366,0.06470588235294118,0.05288597964077266,0.09234478601567209,1.0,0.10572687224669604,0.19123505976095617,0,203,search_balanced_recall_v2,0.9
all,search_primary_first_v2@default_is_relevant,237,656,2.7679324894514767,10,104,0.4388185654008439,0.7884615384615384,0.125,0.21578947368421053,0.13659925855273,0.22789833232871207,1.0,0.44933920704845814,0.6200607902735562,0,125,search_primary_first_v2,default
all,search_primary_first_v2@0.05,237,656,2.7679324894514767,10,181,0.7637130801687764,0.7016574585635359,0.19359756097560976,0.3034647550776583,0.16051580019737602,0.31479137365213317,0.9829545454545454,0.762114537444934,0.858560794044665,3,54,search_primary_first_v2,0.05
all,search_primary_first_v2@0.10,237,656,2.7679324894514767,10,181,0.7637130801687764,0.7016574585635359,0.19359756097560976,0.3034647550776583,0.16051580019737602,0.31479137365213317,0.9829545454545454,0.762114537444934,0.858560794044665,3,54,search_primary_first_v2,0.1
all,search_primary_first_v2@0.15,237,656,2.7679324894514767,10,181,0.7637130801687764,0.7016574585635359,0.19359756097560976,0.3034647550776583,0.16051580019737602,0.31479137365213317,0.9829545454545454,0.762114537444934,0.858560794044665,3,54,search_primary_first_v2,0.15
